"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-17.3684531104156,0.940999027644917,-18.4574612727119,4.28447483296322e-65
"2","year",0.0140000836972677,0.000421651137115571,33.2030023517531,2.87425264790768e-160
"3","temp_mean",-0.255010475347579,0.117355781622845,-2.17296899923622,0.0300334021197114
"4","temp_mean_2",0.0084446221842657,0.00384283837093073,2.19749606128254,0.0282299106486166
"5","temp_max",0.150105680866175,0.0757097603373404,1.98264636154373,0.0476995779791384
"6","temp_max_2",-0.00445984126842041,0.00199708806254933,-2.23317206289207,0.0257738061472694
"7","temp_min",0.0436481896312571,0.0189878751703965,2.29874007699965,0.0217397383076633
"8","temp_min_2",-0.00225889466067821,0.000942950786070838,-2.39555944387167,0.0167910184349428
"9","precip_mean",-0.00278213089784871,0.00112212085031317,-2.47935050584993,0.0133376740251384
"10","precip_mean_2",9.22735768003574e-06,4.93169421657791e-06,1.8710319972836,0.0616531214341131
"11","precip_max",0.000799747220814182,0.000301128712729208,2.65583183206232,0.00804610142657425
"12","precip_max_2",-5.49516303839291e-07,2.95857009999794e-07,-1.85737124781892,0.0635729401762179
"13","precip_min",-0.00282585587073687,0.00091598434245211,-3.08504822601224,0.00209510078288708
"14","precip_min_2",2.87672337569343e-05,9.46100531998069e-06,3.04061067339015,0.00242685646994811
"15","factor(iso)bol",-0.269913149085153,0.136751327269487,-1.97375158599559,0.0487043654607566
"16","factor(iso)can",0.163155403004722,0.0483776924260692,3.3725338027244,0.000775387198342231
"17","factor(iso)chn",-0.372591131419917,0.0272330893613658,-13.6815594615752,5.69846257548876e-39
"18","factor(iso)col",0.0868867173697113,0.130700351875641,0.664777991205277,0.506356600286899
"19","factor(iso)guy",-0.880917688589117,9.93829493397769,-0.0886387146327665,0.929388040966879
"20","factor(iso)ind",-0.924690477914006,0.0521724054028326,-17.7237463132916,8.19064665848362e-61
"21","factor(iso)ita",0.279742597668945,0.120191631077266,2.32747151496021,0.0201530809514411
"22","factor(iso)mex",-0.25767918289844,0.142507339743229,-1.80818183374084,0.0708997449619767
"23","factor(iso)nga",-1.34937565087703,0.0841783677985419,-16.0299574126502,2.85815367850735e-51
"24","factor(iso)per",-0.170240612799167,0.607567897541743,-0.280200144688308,0.779386002001339
"25","factor(iso)prk",-0.635726422769909,0.0546665438891605,-11.6291679982345,2.73420080857252e-29
"26","factor(iso)pry",-0.158945211881519,0.220737977705165,-0.720062825318709,0.471666465775199
"27","factor(iso)sur",-0.82383661271871,3.84874745100533,-0.214053175274859,0.830552310036391
"28","factor(iso)tur",0.110572103580768,0.180510688572641,0.612551558332081,0.540322001032957
"29","factor(iso)tza",-1.43536522711884,0.43271143572488,-3.31714188397704,0.000944526125039552
"30","factor(iso)ury",-0.183943284284588,0.0755026201749283,-2.43625034281484,0.0150263839610614
"31","factor(iso)usa",0.14085272635868,0.0190646442598009,7.38816441782118,3.29963201153428e-13
"32","factor(iso)zaf",-0.510307342055148,0.087043320771216,-5.86268236935073,6.31311074203245e-09
