,year,iso,crop,temp_mean,temp_max,temp_min,precip_mean,precip_max,precip_min,GCAM_region_name,co2_conc
1,2015,arg,soybean,13.87,16.8,9.42,62.758,92.16,25.63,Argentina,403.134
2,2016,arg,soybean,14.87,18.54,10.3,76.034,139.59,35.53,Argentina,406.0092
3,2017,arg,soybean,14.342,17.58,10.87,77.414,93.54,53.58,Argentina,408.8844
4,2018,arg,soybean,14.518,17.2,10.33,57.868,77.41,32.6,Argentina,411.7596
5,2019,arg,soybean,14.284,18.37,9.33,112.45,248.1,28.94,Argentina,414.6348
6,2020,arg,soybean,14.164,16.46,9.52,94.26,177.09,48.33,Argentina,417.51
7,2021,arg,soybean,14.372,18.51,10.69,81.306,130.18,41.56,Argentina,420.9428
8,2022,arg,soybean,14.638,18.34,10.35,66.506,106.83,25.89,Argentina,424.3756
9,2023,arg,soybean,14.088,16.64,10.58,84.342,154.99,30.03,Argentina,427.8084
10,2024,arg,soybean,14.548,18.03,10.6,82.828,126.91,15.84,Argentina,431.2412
11,2025,arg,soybean,14.762,17.85,9.11,61.476,81.58,36.39,Argentina,434.674
12,2026,arg,soybean,14.566,17.65,10.14,92.03,155.8,51.09,Argentina,438.3718
13,2027,arg,soybean,14.728,17.57,10.64,72.28,93.11,27.23,Argentina,442.0696
14,2028,arg,soybean,14.95,18.08,10.42,72.092,99.16,41.7,Argentina,445.7674
15,2029,arg,soybean,14.406,17.72,9.92,76.58,117.45,14.41,Argentina,449.4652
16,2030,arg,soybean,14.25,18.07,9.91,70.022,112.92,13.52,Argentina,453.163
17,2031,arg,soybean,14.4,17.97,9.76,99.59,202.14,47.3,Argentina,457.0338
18,2032,arg,soybean,14.98,18.38,10.35,76.546,126.14,32.14,Argentina,460.9046
19,2033,arg,soybean,14.59,18.33,9.39,92.678,157.07,46.77,Argentina,464.7754
